[ASX Dashboard] Serving on http://0.0.0.0:5052
 * Serving Flask app 'dashboard_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5052
 * Running on http://10.0.2.108:5052
Press CTRL+C to quit
127.0.0.1 - - [23/Apr/2026 02:09:16] "HEAD /motor-gantt/download HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:09:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:09:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:09:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:09:25] "GET /motor-gantt/download HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:10:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:10:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:10:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:16:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:16:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:16:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:43] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:43] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:43] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:17:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:18:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:19:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:19:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:19:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:20:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:20:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:20:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:03] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:03] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:03] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:21:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:22:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:22:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:22:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:23:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:23:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:23:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:24:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:24:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:24:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:25:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:25:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:25:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:26:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:26:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:26:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:27:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:27:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:27:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:28:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:28:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:28:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:29:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:29:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:29:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:30:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:30:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:30:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:31:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:31:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:31:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:32:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:32:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:32:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:33:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:33:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:33:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:15] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:15] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:15] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:41:17] "GET /api/overview HTTP/1.1" 200 -
